No. Pesanan,Status Pesanan,Alasan Pembatalan,Status Pembatalan/ Pengembalian,No. Resi,Nomor Referensi SKU,Nama Produk,Nama Variasi,Jumlah,Returned quantity
260101U95E5RBQ,Selesai,,Permintaan Disetujui,SPXID061698408631,FCCL01,BLP - Face Concealer - 5g - Corrector,Light,1,1
260101UNNTRJFS,Selesai,,Masalah Diselesaikan,SPXID067190313141,LPTN04,BLP - Lip Cotton - 4.5g - Lipcream,First Kiss,1,1
260109JVE371VN,Telah Dikirim,,Pengembalian sedang diproses,SPXID060985826481,LPVN01,BLP - Lip Vinyl - 2.5ml - Lip Gloss,Blossom,1,1
260109JVE371VN,Telah Dikirim,,Pengembalian sedang diproses,SPXID060985826481,LPBF01,BLP - Lip Coat - 5gr - Lip Cream - Butter Fudge Collection,Butter Fudge,1,1
260109JVE371VN,Telah Dikirim,,,SPXID060985826481,ESPO01,BLP - Eyeshadow Pocket - 4 Colors - Butter Fudge Collection,1987,1,0
260109JVE371VN,Telah Dikirim,,,SPXID060985826481,EDAY04,BLP Everyday - Mini Size - Eau de Parfum (EDP) - 2ml,Hug,1,0
260111QDEHXV71,Telah Dikirim,,Pengembalian Diproses,SPXID062046497901,ESPO02,BLP - Eyeshadow Pocket - 4 Colors - Butter Fudge Collection,1989,1,1
260101T5T7GPJ2,Batal,Dibatalkan oleh Pembeli. Alasan: Proses pembayaran sulit,,,BALM03,BLP x TUKU - Butter Balm - 3 gr - Lip Balm - Pelembap Bibir,Espresso,1,0
260101T5T7JHW7,Batal,Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran,,,LPGL02,BLP - Lip Gel - 3.5ml - Liptint,Magnolia,1,0
260101T5TF63SU,Batal,Dibatalkan secara otomatis oleh sistem Shopee. Alasan: Pesanan belum dibayar,,,BALM02,BLP x TUKU - Butter Balm - 3 gr - Lip Balm - Pelembap Bibir,Aren,1,0
260101T5TH1R4Y,Batal,Dibatalkan oleh Pembeli. Alasan: Lainnya,,,BALM02,BLP x TUKU - Butter Balm - 3 gr - Lip Balm - Pelembap Bibir,Aren,1,0
260101T5S487EW,Batal,Dibatalkan oleh Pembeli. Alasan: Tidak ingin membeli lagi,,,ESPO01,BLP - Eyeshadow Pocket - 4 Colors - Butter Fudge Collection,1987,1,0
260112RQ589XJS,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,,,SHRP01,Sharpener BLP,,1,0
